element,metric,total_edges,baseline_score,top_k,edge_percentage,circuit_score,faithfulness
aos,logit_diff,179749,7.1754,1000,0.6%,3.1516,43.9217%
aos,logit_diff,179749,7.1754,1000,0.6%,3.1516,43.9217%
aos,logit_diff,179749,7.1754,2000,1.1%,3.9630,55.2308%
aos,logit_diff,179749,7.1754,2000,1.1%,3.9630,55.2308%
aos,logit_diff,179749,7.1754,1000,0.6%,3.1516,43.9217%
aos,logit_diff,179749,7.1754,5000,2.8%,5.0402,70.2431%
aos,logit_diff,179749,7.1754,5000,2.8%,5.0402,70.2431%
aos,logit_diff,179749,7.1754,2000,1.1%,3.9630,55.2308%
aos,logit_diff,179749,7.1754,5000,2.8%,5.0402,70.2431%
